GENERICO,FORMA_FARMACEUTICA,CONTENIDO,DESCRIPCION_ENVASE
FLUTICASONA,SUSPENSION EN AEROSOL,CADA DOSIS CONTIENE: PROPIONATO DE FLUTICASONA 50 MICROGRAMOS,UN FRASCO PRESURIZADO PARA 60 DOSIS
FLUTICASONA,SUSPENSION EN AEROSOL,CADA DOSIS CONTIENE: PROPIONATO DE FLUTICASONA 50 MICROGRAMOS,UN FRASCO PRESURIZADO PARA 120 DOSIS
FOSFATO Y CITRATO DE SODIO,SOLUCION,CADA 100 ML CONTIENEN: FOSFATO MONOSODICO 12 G CITRATO DE SODIO 10 G,133 ML Y CANULA RECTAL
FUMARATO FERROSO,SUSPENSION ORAL,CADA ML CONTIENE: FUMARATO FERROSO 29 MG EQUIVALENTE A 9.53 MG DE HIERRO ELEMENTAL,120 ML
FUROSEMIDA,TABLETA,CADA TABLETA CONTIENE: FUROSEMIDA 40 MG,20 TABLETAS
FUROSEMIDA,SOLUCION INYECTABLE,CADA AMPOLLETA CONTIENE: FUROSEMIDA 20 MG,5 AMPOLLETAS DE 2 ML
GABAPENTINA,CAPSULA,CADA CAPSULA CONTIENE: GABAPENTINA 300 MG,15 CAPSULAS
GLIBENCLAMIDA,TABLETA,CADA TABLETA CONTIENE: GLIBENCLAMIDA 5 MG,50 TABLETAS
GLUCOSA,SOLUCION INYECTABLE,CADA 100 ML CONTIENE: GLUCOSA ANHIDRA O GLUCOSA 5 G O GLUCOSA MONOHIDRATADA EQUIVALENTE A 5.0 G DE GLUCOSA,250 ML. CONTIENE: GLUCOSA 12.5 G
GLUCOSA,SOLUCION INYECTABLE,CADA 100 ML CONTIENEN: GLUCOSA ANHIDRA O GLUCOSA 5 G O GLUCOSA MONOHIDRATADA EQUIVALENTE A 5.0 G DE GLUCOSA,1 000 ML. CONTIENE: GLUCOSA 50.0 G
HALOPERIDOL,TABLETA,CADA TABLETA CONTIENE: HALOPERIDOL 5 MG,20 TABLETAS
HEPARINA,SOLUCION INYECTABLE,CADA FRASCO AMPULA CONTIENE: HEPARINA SODICA EQUIVALENTE A 10 000 UI DE HEPARINA,50 FRASCOS AMPULA CON 10 ML (1000 UI/ML)
HIDRALAZINA,TABLETA,CADA TABLETA CONTIENE: CLORHIDRATO DE HIDRALAZINA 10 MG,20 TABLETAS
HIDROCLOROTIAZIDA,TABLETA,CADA TABLETA CONTIENE: HIDROCLOROTIAZIDA 25 MG,20 TABLETAS
HIDROCORTISONA,SOLUCION INYECTABLE,CADA FRASCO AMPULA CONTIENE: SUCCINATO SODICO DE HIDROCORTISONA EQUIVALENTE A 100 MG DE HIDROCORTISONA,50 FRASCOS AMPULA Y 50 AMPOLLETAS CON 2 ML DE DILUYENTE
HIDROCORTISONA,CREMA,CADA G CONTIENE: 17 BUTIRATO DE HIDROCORTISONA 1 MG,15 G
HIDROXIZINA,GRAGEA O TABLETA,CADA GRAGEA O TABLETA CONTIENE: CLORHIDRATO DE HIDROXIZINA 10 MG,30 GRAGEAS O TABLETAS
HIDROXOCOBALAMINA,SOLUCION INYECTABLE,CADA AMPOLLETA O FRASCO AMPULA CON SOLUCION O LIOFILIZADO CONTIENE: HIDROXOCOBALAMINA 100 MICROGRAMO,3 AMPOLLETAS DE 2 ML O FRASCO AMPULA Y DILUYENTE
HIPROMELOSA,SOLUCION OFTALMICA,CADA ML CONTIENE: HIPROMELOSA 5 MG,GOTERO INTEGRAL CON 15 ML
HIPROMELOSA,SOLUCION OFTALMICA,CADA ML CONTIENE: HIPROMELOSA 20 MG,GOTERO INTEGRAL CON 15 ML
IMIPRAMINA,GRAGEA O TABLETA,CADA GRAGEA O TABLETA CONTIENE: CLORHIDRATO DE IMIPRAMINA 25 MG,20 GRAGEAS O TABLETAS
IMIQUIMOD,CREMA,CADA SOBRE CONTIENE: IMIQUIMOD 12.5 MG,"12 SOBRES, QUE CONTIENEN 250 MG DE CREMA"
INDOMETACINA,CAPSULA,CADA CAPSULA CONTIENE: INDOMETACINA 25 MG,30 CAPSULAS
INMUNOGLOBULINA HUMANA HIPERINMUNE ANTITETANICA,SOLUCION INYECTABLE,"CADA FRASCO AMPULA, AMPOLLETA O JERINGA PRELLENADA CONTIENE: INMUNOGLOBULINA HUMANA HIPERINMUNE ANTITETANICA 250 UI",UNA JERINGA PRELLENADA CO
INSULINA GLARGINA,SOLUCION INYECTABLE,CADA ML DE SOLUCION CONTIENE: INSULINA GLARGINA 3.64 MG. EQUIVALENTE A 100 UI DE INSULINA HUMANA,UN FRASCO AMPULA CON 10 ML
INSULINA GLARGINA,SOLUCION INYECTABLE,CADA MILILITRO CONTIENE: INSULINA GLARGINA 3.64 MG EQUIVALENTE A 100.0 UI DE INSULINA HUMANA,5 CARTUCHOS DE VIDRIO CON 3 ML EN DISPOSITIVO DESECHABLE
INSULINA HUMANA,SUSPENSION INYECTABLE ACCION INTERMEDIA NPH,CADA ML CONTIENE: INSULINA HUMANA ISOFANA (ORIGEN ADN RECOMBINANTE) 100 UI O INSULINA ZINC ISOFANA HUMANA (ORIGEN ADN RECOMBINANTE) 100 UI,UN FRASCO A
